,Backtest
start_date,2018-07-01
end_date,2018-08-15
backtest_minutes,2878.0
backtest_days,45.99930555555556
backtest_weeks,6.571329365079365
number_of_trades,37
average_trades_per_week_avg,5.630519784417035
average_trade_amount_usd,93.47481981647005
initial_capital,20000.0
ending_capital,20257.831591495004
net_profit,257.8315914950035
net_profit_pct,1.2891579574750176
average_daily_profit,5.6051192160631205
average_daily_profit_pct,0.028025596080315605
average_exposure,0.0
average_exposure_pct,0.0
net_risk_adjusted_return_pct,inf
max_drawdown_pct_catalyst,-5.147263992823796
max_daily_drawdown_pct,-0.2281287278932038
max_weekly_drawdown_pct,-0.4349018255988
sharpe_ratio_avg,2.8366213891911722
std_rolling_10_day_pct_avg,0.00010417725848038056
std_rolling_100_day_pct_avg,0.00034387531302030206
number_of_simulations,66240
